263 0 0.671433 0.69826 0.673588 0.753008
262 0 0.673588 0.753008 0.75 0.75
261 0 0.673588 0.753008 0.597176 0.756016
260 0 0.67839 0.875 0.673588 0.753008
259 0 0.347935 0.537715 0.273234 0.535837
258 0 0.273234 0.535837 0.236887 0.601126
257 0 0.273234 0.535837 0.309581 0.470547
256 0 0.163542 0.474771 0.273234 0.535837
255 0 0.309911 0.669708 0.335349 0.761878
254 0 0.335349 0.761878 0.25 0.75
253 0 0.335349 0.761878 0.420698 0.773757
252 0 0.320137 0.871181 0.335349 0.761878
251 0 0.234709 0.408609 0.279983 0.311091
250 0 0.279983 0.311091 0.178385 0.329427
249 0 0.279983 0.311091 0.381582 0.292755
248 0 0.212436 0.227274 0.279983 0.311091
247 0 0.671433 0.69826 0.78125 0.65625
246 0 0.78125 0.65625 0.75 0.75
245 0 0.78125 0.65625 0.8125 0.5625
244 0 0.875 0.6875 0.78125 0.65625
243 0 0.890625 0.484375 0.90625 0.59375
242 0 0.90625 0.59375 1 0.625
241 0 0.90625 0.59375 0.8125 0.5625
240 0 0.875 0.6875 0.90625 0.59375
239 0 0.8125 0.5625 0.796875 0.453125
238 0 0.796875 0.453125 0.703125 0.421875
237 0 0.796875 0.453125 0.890625 0.484375
236 0 0.875 0.375 0.796875 0.453125
235 0 0.409936 0.452006 0.347935 0.537715
234 0 0.347935 0.537715 0.309581 0.470547
233 0 0.347935 0.537715 0.38629 0.604883
232 0 0.236887 0.601126 0.347935 0.537715
231 8 0 1 0 0.875
230 7 0.25 1 0.125 1
229 0 0.125 0.875 0 0.875
228 0 0.125 0.875 0.0972568 0.777743
227 0 0.125 0.875 0.125 1
226 0 0 1 0.125 0.875
225 7 0.125 1 0 1
224 8 0 0.875 0 0.75
223 0 0.0972568 0.777743 0 0.875
222 7 1 1 0.875 1
221 6 1 0.75 1 0.875
220 0 0.875 0.875 0.875 1
219 0 0.875 0.875 0.776695 0.901695
218 0 0.875 0.875 1 0.875
217 0 1 1 0.875 0.875
216 6 1 0.875 1 1
215 7 0.875 1 0.75 1
214 0 0.776695 0.901695 0.875 1
213 0 0.875 0.875 0.84375 0.78125
212 0 1 0.75 0.875 0.875
211 0 0.84375 0.78125 1 0.75
210 8 0 0.125 0 0
209 0 0 0.125 0.0813802 0.0813802
208 0 0.107326 0.248989 0.0813802 0.0813802
207 7 0.375 1 0.25 1
206 0 0.320137 0.871181 0.375 1
