96 0 0.673588 0.753008
95 0 0.273234 0.535837
94 0 0.335349 0.761878
93 0 0.279983 0.311091
92 0 0.78125 0.65625
91 0 0.90625 0.59375
90 0 0.796875 0.453125
89 0 0.347935 0.537715
88 8 0 0.875
87 7 0.125 1
86 0 0.0972568 0.777743
85 0 0.222059 0.847059
84 0 0.125 0.875
83 7 0.875 1
82 6 1 0.875
81 0 0.776695 0.901695
80 0 0.84375 0.78125
79 0 0.875 0.875
78 0 0.875 0.6875
77 6 1 0.625
76 0 0.0813802 0.0813802
75 8 0 0.125
74 0 0.433256 0.88733
73 0 0.320137 0.871181
72 0 0.511638 0.791754
71 7 0.375 1
70 0 0.54709 0.877411
69 7 0.625 1
68 0 0.67839 0.875
67 0 0.137379 0.684906
66 0 0.100088 0.394861
65 0 0.0933588 0.5625
64 8 0 0.375
63 8 0 0.625
62 0 0.234709 0.408609
61 0 0.163542 0.474771
60 8 0 0.75
59 0 0.309911 0.669708
58 7 0.25 1
57 7 0.75 1
56 0 0.671433 0.69826
55 0 0.236887 0.601126
54 0 0.437551 0.682381
53 0 0.420698 0.773757
52 0 0.597176 0.756016
51 0 0.513084 0.628267
50 0 0.38629 0.604883
49 0 0.409936 0.452006
48 0 0.381582 0.292755
47 0 0.309581 0.470547
46 0 0.476906 0.375
45 0 0.654316 0.509772
44 0 0.590473 0.432104
43 0 0.705212 0.330115
42 0 0.613839 0.321429
41 0 0.703125 0.421875
40 0 0.640625 0.609375
39 6 1 0.75
38 0 0.890625 0.484375
37 6 1 0.125
36 5 0.875 0
35 0 0.107326 0.248989
34 0 0.212436 0.227274
33 5 0.125 0
32 0 0.178385 0.329427
31 0 0.15625 0.135417
30 8 0 0.25
29 0 0.407652 0.135417
28 0 0.3125 0.0833333
27 0 0.3125 0.1875
26 0 0.65625 0.09375
25 5 0.375 0
24 5 0.625 0
23 5 0.25 0
22 0 0.515625 0.125
21 0 0.625 0.1875
20 0 0.75 0.125
19 0 0.8125 0.5625
18 6 1 0.375
17 0 0.875 0.25
16 0 0.875 0.125
15 0 0.875 0.375
14 6 1 0.25
13 5 0.75 0
12 0 0.5 0.25
11 0 0.75 0.75
10 0 0.25 0.75
9 0 0.75 0.25
8 7 0.5 1
7 6 1 0.5
6 5 0.5 0
5 8 0 0.5
4 0 0.5 0.5
3 4 0 1
2 3 1 1
1 2 1 0
0 1 0 0
